content,source,page
"Business Models 
for the Circula
r Economy
OPPORTUNITIES AND CHALLE NGES FOR POLICY
Business Models for the Circular Economy   OPPORTUNITIES AND CHALLENGES FOR POLICY",../data/raw/business_models_circular_economy_oecd.pdf,0
,../data/raw/business_models_circular_economy_oecd.pdf,1
"Business Models 
for the Circular Economy
OPPORTUNITIES
 AND CHALLENGES FOR POLICY",../data/raw/business_models_circular_economy_oecd.pdf,2
"This work is published under the responsibility of the Secretary-General of the OECD. The
opinion
s expressed and arguments employed herein do not necessarily reflect the official
views of OECD member countries.
This document, as well as any data and any map included herein, are without prejudice
to the status of or sovereignty over any territory, to the delimitation of international
frontiers and boundaries and to the name of any territory, city or area.
Please cite this publication as:
OECD (2019), Business Models 
for the Circular Economy: Opportunities and Challenges for Policy, OECD
Publishing, Paris.
https://doi.org/10.1787/g2g9dd62-en
ISBN 978-92-64-31141-1 (print)
ISBN 978-92-64-31142-8 (pdf)
The statistical data for Israel are supplied by and under the responsibility of the relevant Israeli authorities. The use of
such data by the OECD is without prejudice to the status of the Golan Heights, East Jerusalem and Israeli settlements in
the West Bank under the terms of international law.
Photo credits: Cover © Billion Photos/Shutterstock.com.
Corrigenda to OECD publications may be found on line at: www.oecd.org/about/publishing/corrigenda.htm.
© OECD 2019
You can copy, download or print OECD content for your own use, and you can include excerpts from OECD publications, databases and
multimedia products in your own documents, presentations, blogs, websites and teaching materials, provided that suitable
acknowledgement of OECD as source and copyright owner is given. All requests for public or commercial use and translation rights should
be submitted to rights@oecd.org . Requests for permission to photocopy portions of this material for public or commercial use shall be
addressed directly to the Copyright Clearance Center (CCC) at info@copyright.com  or the Centre français d’exploitation du droit de copie
(CFC) at contact@cfcopies.com.",../data/raw/business_models_circular_economy_oecd.pdf,3
"FOREWORD │ 3 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
Foreword 
Recent decades have seen an unprecedented growth in demand for natural resources and 
the materials derived from them. Around 80 billion tonnes of minerals, fossil fuels, and 
biomass were fed into the global economy in 2011, and this is only likely to increase with 
population growth and improved standards of living. OECD modelling indicates that 
resource use may more than double by 2060 under business as usual. 
Continued depletion of the planet’s natural resource stock will have a number of 
economic and envi ronmental consequences. First, ongoing harvesting of mineral ores, 
fossil fuel reserves, and agricultural land will tend to place upwards pressure on resource 
prices, affecting resource access and economic development. Second, resource depletion 
in some countries, and the resulting concentration of supply in others, will tend to 
increase the likelihood of geo -politically related supply shocks. Third, the environmental 
pressures associated with the extraction, use, and disposal of natural resources will 
probably grow, with adverse impacts on quality of life as well as future economic growth.   
These issues have sparked recent interest in how to decouple economic activity from 
natural resource use and their environmental impacts. Improved resource efficiency and a 
transition to a more circular economy are seen as key ways forward. Many countries have 
launched national circular economy, resource efficiency, or sustainable materials 
management roadmaps. Resource efficiency has also been included in the G7 and G20 
agendas, as well as being central to the 2030 Agenda for Sustainable Development. 
In practice, decoupling can be pursued along several pathways, including improved 
productivity at the firm level and a shift towards services. However, achieving real 
progress will also require that greener modes of production and consumption – circular 
business models as they are called in this report – gain a greater foothold in our 
economies. The traditional linear model of resource extraction, product ownership, and 
eventual disposal is unlikely to deliver the sustainable future that we want. 
Business Models for a Circular Economy: Opportunities and Challenges from a Policy 
Perspective has been developed by the Environmental Policy Committee’s Working Party 
on Resource Productivity and Waste. The report addresses the key characteristics, 
potential scalability, and likely environmental impacts of five headline circular business 
models. The use of  renewable materials in manufacturing, the recycling and 
remanufacturing of end of life products, and the sharing and leasing of already existing 
assets are all considered. By identifying the factors that are currently hindering the 
broader adoption of circular business models, this report can help to support policy efforts 
to transition to a more resource efficient and circular economy.  
 
Rodolfo Lacy, Director, Environment, OECD",../data/raw/business_models_circular_economy_oecd.pdf,4
,../data/raw/business_models_circular_economy_oecd.pdf,5
"ACKNOWLEDGEMENTS │ 5 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
Acknowledgements 
This report has been authored by Andrew McCarthy, Matthias Helf, and Peter Börkey of 
the OECD Environment Directorate. The authors are grateful to delegates of the Working 
Party on Resource Productivity and Waste for helpful comments on earlier drafts of this 
paper. They would also like to thank Frithjof Laubinger  for his substantive inputs and the 
editing of the publication  and Ruben Bibas for his advice and feedback. Laura Dockings 
and Soojin Jeong provided editorial assistance. The authors are responsible for any 
remaining omissions or errors.  
Work on this repo rt was conducted under the overall supervision of Shardul Agrawala, 
Head of the Environment and Economy Integration Division of the OECD’s Environment 
Directorate. 
Finally, this work would not have been possible without the generous financial support of 
Japan, Germany, Korea, The Netherlands and Switzerland.",../data/raw/business_models_circular_economy_oecd.pdf,6
,../data/raw/business_models_circular_economy_oecd.pdf,7
"TABLE OF CONTENTS │ 7 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
Table of contents 
Foreword ................................................................................................................................................ 3 
Acknowledgements ................................................................................................................................ 5 
Abbreviations and acronyms .............................................................................................................. 11 
Executive Summary ............................................................................................................................ 13 
Chapter 1. Introduction ...................................................................................................................... 17 
Notes .................................................................................................................................................. 22 
References .......................................................................................................................................... 22 
Chapter 2. Circular business models ................................................................................................. 23 
2.1. A typology of circular business models ...................................................................................... 24 
2.2. Individual circular business model characteristics ...................................................................... 26 
2.2.1. Circular supply models ......................................................................................................... 26 
2.2.2. Resource recovery models ................................................................................................... 27 
2.2.3. Product life extension models .............................................................................................. 28 
2.2.4. Sharing models ..................................................................................................................... 31 
2.2.5. Product service systems models ........................................................................................... 33 
2.3. Drivers of circular business model adoption more generally...................................................... 35 
2.3.1. Traditional “linear” modes of production: emerging business risks .................................... 35 
2.3.2. Emerging technologies as a driver for the adoption of more circular modes of production 36 
Notes .................................................................................................................................................. 38 
References .......................................................................................................................................... 38 
Chapter 3. The current scale and potential scalability of circular business models ..................... 41 
3.1. Introduction ................................................................................................................................. 42 
3.2. Resource recovery business models: the example of metal recycling ........................................ 42 
3.2.1. Current market penetration ................................................................................................... 42 
3.2.2. Future scalability .................................................................................................................. 43 
3.3. Product life extension models: the example of remanufacturing ................................................ 44 
3.3.1. Current market penetration ................................................................................................... 44 
3.3.2. Future scalability .................................................................................................................. 46 
3.4. Sharing models: the example of short-term lodging ................................................................... 47 
3.4.1. Current market penetration ................................................................................................... 47 
3.4.2. Future scalability .................................................................................................................. 47 
3.5. Product service systems: the example of user oriented product service systems – mobility ...... 50 
3.5.1. Current market penetration ................................................................................................... 50 
3.5.2. Future scalability .................................................................................................................. 51 
3.6. Conclusions ................................................................................................................................. 52 
Notes .................................................................................................................................................. 55 
References .......................................................................................................................................... 55",../data/raw/business_models_circular_economy_oecd.pdf,8
"8 │ TABLE OF CONTENTS 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
Chapter 4. The environmental impacts of circular business models .............................................. 61 
4.1. Introduction ................................................................................................................................. 62 
4.2. Insights from the circularity ladder concept ............................................................................... 63 
4.3. Insights from the Life Cycle Assessment (LCA) literature ........................................................ 64 
4.3.1. Circular supply and resource recovery business models ...................................................... 66 
4.3.2. Product life extension models .............................................................................................. 69 
4.3.3. Sharing models ..................................................................................................................... 73 
4.3.4. Product-service systems ....................................................................................................... 76 
4.4. How economic feedbacks influence environmental outcomes ................................................... 79 
4.4.1. Direct environmental impacts of circular business model scale up...................................... 81 
4.4.2. Indirect environmental impacts of circular business model scale up ................................... 81 
4.5. Conclusions ................................................................................................................................. 82 
Notes .................................................................................................................................................. 84 
References .......................................................................................................................................... 86 
Chapter 5. Policy Implications ........................................................................................................... 97 
5.1. The findings of this report........................................................................................................... 98 
5.2. The role of policy ........................................................................................................................ 98 
5.2.1. General considerations ......................................................................................................... 98 
5.2.2. Common barriers to circular business model adoption and potential policy responses ....... 99 
Notes ................................................................................................................................................ 101 
References ........................................................................................................................................ 101 
Annex A. Case examples ................................................................................................................... 103 
Circular supply models: furniture manufacturing at Nico Spacecraft (from National Zero 
Waste Council, 2015 ([1])) ............................................................................................................ 103 
Circular supply models: Cradle-to-Cradle® at Tarkett ................................................................ 103 
Resource recovery models: Industrial Symbiosis in Denmark ..................................................... 104 
Resource recovery models: upcycling at FREITAG .................................................................... 106 
Product life extension models: remanufacturing at Caterpillar .................................................... 106 
Sharing models: sharing at the Toronto Tool Library (from the National Zero Waste Council 
(2015[1])) ....................................................................................................................................... 107 
Sharing models: sharing at Peerby ............................................................................................... 108 
Product Service System models: light as a service at Philips ...................................................... 108 
Product Service System models: access to rather than ownership of garments at Rent Frock 
Repeat (from the National Zero Waste Council (2015[1])) ........................................................... 109 
References .................................................................................................................................... 109",../data/raw/business_models_circular_economy_oecd.pdf,9
"TABLE OF CONTENTS │ 9 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
Tables 
Table 2.1. Circular business models addressed in this report ................................................................ 25 
Table 2.2. Overview of product life extension models .......................................................................... 29 
Table 3.1. US remanufacturing statistics - 2011 ................................................................................... 45 
Table 3.2. EU remanufacturing statistics - 2011 ................................................................................... 45 
Table 3.3. Summary of current market penetration of selected circular business models .................... 53 
Table 4.1. Selected literature assessing the environmental impacts of recycling .................................. 67 
Table 4.2. Selected literature assessing the environmental impacts of remanufacturing ...................... 71 
Table 4.3. Selected literature assessing the environmental impacts of car sharing ............................... 78 
 
Table A.1. Annual environmental benefits of Kalundborg Symbiosis Industrial Park ....................... 106 
 
Figures 
Figure 2.1. The impact of circular business models on the linear economy ......................................... 26 
Figure 3.1. Evolution of secondary market share for finished steel, aluminium, and copper ............... 43 
Figure 3.2. Price volatility in the iron ore and steel scrap markets: 2010 to 2016 ................................ 44 
Figure 3.3. Airbnb guest arrivals: 2008 – 2015 ..................................................................................... 47 
Figure 3.4. Airbnb revenue growth in New York City: 2011 – 2017 .................................................... 49 
Figure 3.5. Global urban car sharing membership trends ...................................................................... 50 
Figure 4.1. The circularity ladder concept ............................................................................................. 64 
Figure 4.2. Average net environmental benefits of recycling 1 tonne of waste in Australia ................ 68 
Figure 4.3. Life cycle energy use of remanufactured products relative to new equivalents ................. 72 
Figure 4.4. Changes in mobility related to GHG emissions due to the introduction of a car sharing 
scheme ........................................................................................................................................... 79 
Figure 4.5. Direct and indirect impacts of addressing the barriers to circular business model 
adoption ......................................................................................................................................... 80 
 
Figure A.1. The Desso technical cycle ................................................................................................ 104 
Figure A.2. The Kalundborg Symbiosis Industrial Park ..................................................................... 105 
 
Boxes 
Box 1.1. The potential benefits of a transition to a more resource efficient and circular economy ...... 19 
Box 1.2. Definitions in this report: resource efficiency, the circular economy, and circular business 
models ........................................................................................................................................... 20 
Box 2.1. The definition of remanufacturing used in this report ............................................................ 31 
Box 2.2. The definition of sharing models used in this report .............................................................. 32 
Box 3.1. Social concerns and the growth of sharing and other platform based business models ......... 48 
Box 4.1. The waste hierarchy ................................................................................................................ 63 
Box 4.2. Life cycle analysis: a brief summary ...................................................................................... 65 
Box 4.3. Environmental impacts of sharing models: evidence from recent assessments ...................... 73",../data/raw/business_models_circular_economy_oecd.pdf,10
,../data/raw/business_models_circular_economy_oecd.pdf,11
"ABBREVIATIONS AND ACRONYMS │ 11 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
Abbreviations and acronyms 
B2B Business to Business 
B2C Business to Consumer 
C2C Consumer to Consumer 
C2B Consumer to Business 
CMS Chemical Management Services 
ESCO Energy Service Company 
GHG Greenhouse Gases 
GWP Global Warming Potential 
IPM Integrated Pest Management 
LCA Lifecycle Assessment 
MRF Material Recovery Facility 
OEM Original Equipment Manufacturer 
PSS Product Service Systems 
TEU Total Energy Use 
VKT Vehicle Kilometres Travelled",../data/raw/business_models_circular_economy_oecd.pdf,12
,../data/raw/business_models_circular_economy_oecd.pdf,13
"EXECUTIVE SUMMARY │ 13 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
Executive Summary 
Natural resources, and the materials derived from them, represent the physical basis for 
the economic system. Recent decades have witnessed an unprecedented growth in 
demand for these resources. This has triggered interest from policymakers in transitioning 
to a more resource efficient and circular economy.  
The present report focusses on the current scale and possible environmental impacts 
of five business models that could support the transition to a more resource efficient 
and circular economy. Each business model modifies the pattern of product and material 
flows through the economy. By doing so, they have the potential to reduce the 
environmental pressures that result from current systems of production and consumption. 
The exact mechanisms vary: 
 Circular supply models replac e traditional material inputs derived from virgin 
resources with bio -based, renewable, or recovered materials,  which reduces 
demand for virgin resource extraction in the long run 
 Resource recovery models recycle waste into secondary raw materials, thereby 
diverting waste from final disposal while also displacing the extraction and 
processing of virgin natural resources 
 Product life extension models extend the use period of existing products, slow the 
flow of constituent materials through the economy, and reduce the rate of 
resource extraction and waste generation  
 Sharing models facilitate the sharing of under -utilised products, and can therefore 
reduce demand for new products and their embedded raw materials 
 Product service system models, where services rather than products are marketed, 
improve incentives for green product design and more efficient product use, 
thereby promoting a more sparing use of natural resources 
Not all of these business models are necessarily new. Recycling, reuse, and repair have 
existed for millennia. The sharing of under-utilised household possessions also has a long 
history, and the provision of access to products, rather than ownership of them, is not so 
different from traditional product leasing. What is new is the growing diversity and 
sophistication of these business models, as well as the range of sectors they are adopted 
in.  
The market share held by these business models is small but there is considerable 
room for future scale up . In most sectors, t he market penetration of circul ar business 
models remains limited and is usually no more than 5 to 10% in economic terms. 
Although some business models have experienced rapid recent growth, much of this has 
been from a very low base, and has been confined to a handful of economic niches . 
Consequently, there remains considerable potential for the scale up of circular economy 
business models, both within and across sectors.",../data/raw/business_models_circular_economy_oecd.pdf,14
